n	i	cycles
200	50	4695175292.333333
200	55	5958051455.666667
200	60	7413693048.666667
200	65	9093896914.666666
200	70	11016690802.333334
200	75	13161074070.333334
200	80	15521166641.666666
200	85	18284012255.666668
200	90	21212175576.333332
200	95	24532535987.333332
200	100	28154295310.000000
200	105	32224695469.666668
200	110	36648903215.666664
200	115	41577635040.666664
200	120	46758918004.000000
200	125	52632365133.000000
200	130	58842465978.333336
200	135	65683253042.666664
200	140	72722863338.000000
200	145	80272786201.333328
200	150	88640299089.666672
200	155	97571566261.000000
200	160	107050022468.333328
200	165	116865798529.333328
200	170	127088177800.333328
200	175	138936043657.333344
200	180	151050765566.000000
200	185	163941935496.333344
200	190	176701063708.333344
200	195	191084231686.000000
200	200	206083594773.333344
