n	i	cycles
200	5	433.333333
200	10	1470.333333
200	15	5064.666667
200	20	4239.000000
200	25	7300.666667
200	30	12107.333333
200	35	18935.000000
200	40	27476.666667
200	45	38520.666667
200	50	57242.333333
200	55	73145.000000
200	60	95933.666667
200	65	124610.000000
200	70	152235.666667
200	75	189022.333333
200	80	234507.666667
200	85	279945.000000
200	90	334079.666667
200	95	400338.000000
200	100	467730.333333
200	105	547155.000000
200	110	651016.000000
200	115	733709.000000
200	120	840005.666667
200	125	960369.333333
200	130	1099920.000000
200	135	1244069.333333
200	140	1402550.666667
200	145	1542307.666667
200	150	1745561.000000
200	155	1941438.000000
200	160	2159544.333333
200	165	2365666.666667
200	170	2593763.000000
200	175	2850047.333333
200	180	3123123.333333
200	185	3426705.000000
200	190	3705280.666667
200	195	4034766.666667
200	200	4370753.000000
200	205	4736753.666667
200	210	5053828.666667
200	215	5497210.000000
200	220	5914945.333333
200	225	6354013.666667
200	230	6812548.333333
200	235	7223704.666667
200	240	7783766.333333
200	245	8278999.000000
200	250	8886563.333333
200	255	9488123.333333
200	260	9994197.000000
200	265	10669245.000000
200	270	11334454.666667
200	275	12018177.000000
200	280	12684241.333333
200	285	13369013.666667
200	290	14211788.000000
200	295	14964239.666667
200	300	15733226.333333
200	305	16522002.666667
200	310	17472344.666667
200	315	18442538.666667
200	320	19331922.333333
200	325	20330469.666667
200	330	21292856.000000
200	335	22355967.333333
200	340	23508873.333333
200	345	24532653.000000
200	350	25626162.333333
200	355	26800196.000000
200	360	27959867.000000
200	365	29191242.333333
200	370	30431520.000000
200	375	31749365.666667
200	380	33151541.000000
200	385	34492737.666667
200	390	35956134.333333
200	395	37426010.666667
200	400	38982906.666667
200	405	40521071.666667
200	410	42117905.666667
200	415	43648262.000000
200	420	45270292.333333
200	425	47228778.333333
200	430	49003575.000000
200	435	50749021.666667
200	440	52593970.333333
200	445	54292726.000000
200	450	56245744.666667
200	455	58089711.333333
200	460	59954601.666667
200	465	62371513.666667
200	470	64344512.333333
200	475	66578875.000000
200	480	68970492.000000
200	485	71041292.000000
200	490	73237810.666667
200	495	75603819.333333
200	500	77926431.000000
200	505	80658126.000000
200	510	83265320.000000
200	515	85464810.333333
200	520	88238660.333333
200	525	90816648.000000
200	530	93319009.000000
200	535	96239807.333333
200	540	98672856.000000
200	545	101470149.000000
200	550	104284572.333333
200	555	107206156.000000
200	560	110226640.000000
200	565	113235861.666667
200	570	116386766.666667
200	575	119609563.333333
200	580	122802000.666667
200	585	126180241.666667
200	590	129549402.666667
200	595	132889920.666667
200	600	136421402.000000
200	605	139792626.000000
200	610	143241017.666667
200	615	146809059.666667
200	620	150654023.666667
200	625	154354679.666667
200	630	158198577.666667
200	635	162296238.333333
200	640	166555280.333333
200	645	169945281.666667
200	650	174058031.666667
200	655	177943315.333333
200	660	182183920.333333
200	665	186322819.333333
200	670	190477739.000000
200	675	194993406.000000
200	680	199652853.666667
200	685	203735130.333333
200	690	208400371.000000
200	695	214264006.000000
200	700	218746916.000000
200	705	224131176.333333
200	710	228700839.333333
200	715	233676214.666667
200	720	238838858.666667
200	725	243860027.333333
200	730	249158795.333333
200	735	254095718.333333
200	740	259488727.666667
200	745	264977963.666667
200	750	270417843.666667
200	755	276526693.666667
200	760	281881851.000000
200	765	287399354.333333
200	770	293503314.000000
200	775	299283745.000000
200	780	304845090.000000
200	785	310976835.000000
200	790	317511004.666667
200	795	325022686.000000
200	800	343165443.000000
200	805	338331854.000000
200	810	360605477.666667
200	815	372091329.333333
200	820	357181690.000000
200	825	364876143.333333
200	830	371226850.333333
200	835	395874405.666667
200	840	383447076.666667
200	845	391734489.666667
200	850	418460592.333333
200	855	423149985.666667
200	860	412043834.000000
200	865	419503214.333333
200	870	425751419.000000
200	875	433662554.333333
200	880	441908375.000000
200	885	449080985.000000
200	890	457267869.000000
200	895	523515053.000000
200	900	472039900.000000
200	905	480936212.000000
200	910	488318002.666667
200	915	497473279.333333
200	920	504823944.666667
200	925	513865522.333333
200	930	526887180.666667
200	935	530831062.666667
200	940	577389777.666667
200	945	570097580.333333
200	950	563565122.000000
200	955	593292818.333333
200	960	645832764.000000
200	965	582696054.333333
200	970	663615934.333333
200	975	622423926.666667
200	980	645708870.666667
200	985	655454383.666667
200	990	630647395.000000
200	995	644436610.000000
200	1000	649134788.666667
