n	i	cycles
200	5	247.666667
200	10	348.000000
200	15	492.666667
200	20	677.333333
200	25	942.000000
200	30	1264.000000
200	35	2600.666667
200	40	2114.333333
200	45	2671.333333
200	50	3342.000000
200	55	4100.666667
200	60	4941.000000
200	65	5804.000000
200	70	6641.333333
200	75	7676.333333
200	80	8733.333333
200	85	9928.666667
200	90	11171.000000
200	95	12505.333333
200	100	14950.000000
200	105	15515.333333
200	110	19926.666667
200	115	19173.666667
200	120	20990.333333
200	125	22908.000000
200	130	25043.333333
200	135	27400.333333
200	140	29450.333333
200	145	31821.666667
200	150	34865.000000
200	155	38971.666667
200	160	39674.000000
200	165	42509.000000
200	170	45323.000000
200	175	48665.666667
200	180	51413.666667
200	185	54606.666667
200	190	58111.666667
200	195	61504.000000
200	200	65889.000000
200	205	68527.333333
200	210	72627.333333
200	215	76015.000000
200	220	80134.333333
200	225	84830.333333
200	230	88310.333333
200	235	94169.000000
200	240	96791.000000
200	245	101344.000000
200	250	106931.666667
200	255	110118.666667
200	260	115333.666667
200	265	120325.333333
200	270	125011.333333
200	275	130315.666667
200	280	136909.000000
200	285	140818.000000
200	290	146050.666667
200	295	151443.333333
200	300	158076.333333
200	305	162983.666667
200	310	171103.000000
200	315	174914.000000
200	320	180531.666667
200	325	188358.666667
200	330	192819.666667
200	335	199050.000000
200	340	206454.333333
200	345	212053.666667
200	350	218462.666667
200	355	224897.000000
200	360	232588.333333
200	365	241983.333333
200	370	254251.666667
200	375	267561.666667
200	380	265318.000000
200	385	272918.333333
200	390	276933.666667
200	395	284978.666667
200	400	298655.666667
200	405	303597.666667
200	410	308149.000000
200	415	317850.333333
200	420	321934.000000
200	425	329448.666667
200	430	348388.000000
200	435	351788.666667
200	440	363207.000000
200	445	365468.333333
200	450	378225.000000
200	455	381752.666667
200	460	401021.000000
200	465	402308.333333
200	470	409800.333333
200	475	445763.333333
200	480	428688.000000
200	485	477056.333333
200	490	449200.666667
200	495	462852.666667
200	500	470916.333333
200	505	485668.666667
200	510	489142.333333
200	515	498208.333333
200	520	513873.666667
200	525	515648.000000
200	530	534530.666667
200	535	550674.333333
200	540	549343.666667
200	545	568049.666667
200	550	568886.000000
200	555	616386.333333
200	560	596636.666667
200	565	602963.333333
200	570	622027.000000
200	575	626453.333333
200	580	653687.333333
200	585	656347.333333
200	590	676374.666667
200	595	671818.666667
200	600	700075.666667
200	605	696237.666667
200	610	737076.666667
200	615	735573.333333
200	620	735330.666667
200	625	786242.000000
200	630	759112.000000
200	635	776749.333333
200	640	793475.000000
200	645	831832.333333
200	650	823163.666667
200	655	844848.000000
200	660	843505.000000
200	665	876430.333333
200	670	875311.333333
200	675	905288.333333
200	680	951903.666667
200	685	999287.666667
200	690	1012714.000000
200	695	1006040.333333
200	700	1062712.000000
200	705	1048303.000000
200	710	1053830.000000
200	715	1003590.666667
200	720	1059218.666667
200	725	1073444.666667
200	730	1086646.333333
200	735	1101934.333333
200	740	1155202.333333
200	745	1139308.666667
200	750	1150355.333333
200	755	1157264.666667
200	760	1176432.000000
200	765	1212134.333333
200	770	1200314.333333
200	775	1239719.000000
200	780	1266792.666667
200	785	1298089.666667
200	790	1269414.666667
200	795	1315370.666667
200	800	1297553.666667
200	805	1344497.666667
200	810	1376362.000000
200	815	1391157.666667
200	820	1381032.333333
200	825	1408750.333333
200	830	1429929.333333
200	835	1450508.666667
200	840	1463169.333333
200	845	1503065.333333
200	850	1518874.000000
200	855	1550584.666667
200	860	1553313.000000
200	865	1571429.333333
200	870	1581191.000000
200	875	1605800.333333
200	880	1621181.666667
200	885	1665188.666667
200	890	1673088.333333
200	895	1671174.666667
200	900	1725984.666667
200	905	1702868.000000
200	910	1745255.666667
200	915	1774278.000000
200	920	1785588.333333
200	925	1829237.333333
200	930	1838834.666667
200	935	1872365.666667
200	940	1880403.333333
200	945	1912516.333333
200	950	1918475.666667
200	955	1949466.333333
200	960	1977543.666667
200	965	1970252.000000
200	970	2015996.666667
200	975	2055531.666667
200	980	2055020.000000
200	985	2060284.333333
200	990	2089102.666667
200	995	2115666.333333
200	1000	2113159.333333
