n	i	cycles
200	5	281.666667
200	10	798.000000
200	15	622.000000
200	20	910.666667
200	25	1126.666667
200	30	1461.333333
200	35	1651.666667
200	40	1904.333333
200	45	2294.000000
200	50	2669.666667
200	55	2846.000000
200	60	3340.666667
200	65	3795.333333
200	70	4460.333333
200	75	4891.666667
200	80	5401.000000
200	85	5934.000000
200	90	6828.000000
200	95	7447.666667
200	100	10281.666667
200	105	8821.333333
200	110	9505.000000
200	115	10282.333333
200	120	11263.666667
200	125	42859.333333
200	130	13820.666667
200	135	14604.333333
200	140	15640.666667
200	145	16558.666667
200	150	17937.000000
200	155	18884.666667
200	160	20080.000000
200	165	21334.333333
200	170	22731.333333
200	175	23896.666667
200	180	25151.666667
200	185	26506.333333
200	190	28096.666667
200	195	29691.666667
200	200	30913.666667
200	205	32442.666667
200	210	36768.333333
200	215	35649.000000
200	220	37271.000000
200	225	38853.666667
200	230	40713.000000
200	235	43392.333333
200	240	45113.666667
200	245	46047.333333
200	250	48754.333333
200	255	50087.000000
200	260	54289.666667
200	265	53468.000000
200	270	55575.666667
200	275	58511.000000
200	280	61038.000000
200	285	62136.000000
200	290	65686.333333
200	295	66551.333333
200	300	69834.333333
200	305	70723.000000
200	310	72899.666667
200	315	74915.000000
200	320	80249.333333
200	325	80031.666667
200	330	82192.333333
200	335	87553.333333
200	340	88573.000000
200	345	89721.333333
200	350	92013.666667
200	355	95341.333333
200	360	99635.333333
200	365	107642.333333
200	370	105007.000000
200	375	105610.666667
200	380	108296.666667
200	385	111182.666667
200	390	122574.000000
200	395	122217.666667
200	400	122038.000000
200	405	123049.000000
200	410	125954.666667
200	415	130272.666667
200	420	134524.000000
200	425	141384.000000
200	430	151339.666667
200	435	145000.333333
200	440	148128.333333
200	445	185380.000000
200	450	152095.333333
200	455	163026.000000
200	460	169516.666667
200	465	162936.666667
200	470	164786.666667
200	475	172034.666667
200	480	172211.666667
200	485	183286.666667
200	490	194808.666667
200	495	203015.333333
200	500	197605.333333
200	505	211467.000000
200	510	204459.333333
200	515	232256.333333
200	520	208859.000000
200	525	228951.000000
200	530	210453.000000
200	535	228868.333333
200	540	222639.333333
200	545	232474.666667
200	550	258458.666667
200	555	234289.333333
200	560	238647.000000
200	565	248789.000000
200	570	245636.666667
200	575	266650.000000
200	580	272370.000000
200	585	259647.000000
200	590	294606.666667
200	595	264736.666667
200	600	278981.666667
200	605	321716.666667
200	610	300861.000000
200	615	296051.333333
200	620	297253.000000
200	625	313106.000000
200	630	328890.666667
200	635	333067.333333
200	640	321562.000000
200	645	358489.000000
200	650	332178.333333
200	655	333263.333333
200	660	347971.333333
200	665	354347.000000
200	670	375846.000000
200	675	360378.000000
200	680	385407.000000
200	685	372615.666667
200	690	377223.333333
200	695	408993.333333
200	700	409192.666667
200	705	405442.666667
200	710	418808.333333
200	715	412211.666667
200	720	437167.000000
200	725	519457.666667
200	730	476699.333333
200	735	473980.000000
200	740	510388.000000
200	745	588745.666667
200	750	509427.333333
200	755	422826.000000
200	760	462164.666667
200	765	447388.333333
200	770	439677.000000
200	775	456817.333333
200	780	454638.666667
200	785	552510.000000
200	790	506868.333333
200	795	483354.333333
200	800	485576.333333
200	805	505763.000000
200	810	513936.666667
200	815	498207.666667
200	820	666624.666667
200	825	534897.666667
200	830	518623.666667
200	835	576820.333333
200	840	555554.000000
200	845	579991.000000
200	850	580345.333333
200	855	572017.000000
200	860	600365.666667
200	865	615416.333333
200	870	640459.333333
200	875	636765.000000
200	880	635423.333333
200	885	635417.000000
200	890	686558.333333
200	895	669391.333333
200	900	662681.000000
200	905	694725.666667
200	910	712977.666667
200	915	700526.666667
200	920	725248.333333
200	925	724159.000000
200	930	784882.666667
200	935	745823.333333
200	940	748036.000000
200	945	772177.666667
200	950	803870.666667
200	955	788628.666667
200	960	838144.000000
200	965	847065.333333
200	970	820600.333333
200	975	805270.000000
200	980	862603.666667
200	985	896615.000000
200	990	931900.666667
200	995	839149.000000
200	1000	871741.666667
