n	i	cycles
200	5	304.333333
200	10	426.333333
200	15	617.666667
200	20	776.333333
200	25	1054.666667
200	30	1447.666667
200	35	1920.666667
200	40	2406.333333
200	45	3124.666667
200	50	3802.666667
200	55	4589.666667
200	60	5489.333333
200	65	6445.000000
200	70	18740.333333
200	75	21313.000000
200	80	22759.333333
200	85	20094.000000
200	90	22416.666667
200	95	26750.666667
200	100	28587.666667
200	105	29420.333333
200	110	31442.000000
200	115	28349.000000
200	120	37122.000000
200	125	34050.666667
200	130	42696.333333
200	135	41526.333333
200	140	52119.000000
200	145	53806.000000
200	150	49204.333333
200	155	52313.666667
200	160	54772.333333
200	165	59428.000000
200	170	60357.333333
200	175	62929.000000
200	180	66936.666667
200	185	70430.000000
200	190	73190.333333
200	195	77065.000000
200	200	80763.333333
200	205	84467.333333
200	210	87883.000000
200	215	93491.000000
200	220	95902.666667
200	225	101022.333333
200	230	104131.000000
200	235	113224.333333
200	240	115794.000000
200	245	119298.000000
200	250	125627.333333
200	255	128535.333333
200	260	133532.666667
200	265	141586.000000
200	270	144064.333333
200	275	150281.000000
200	280	158003.333333
200	285	159087.666667
200	290	162907.666667
200	295	169678.000000
200	300	175035.666667
200	305	183867.000000
200	310	191440.666667
200	315	191843.666667
200	320	207695.000000
200	325	204711.666667
200	330	205044.000000
200	335	216918.000000
200	340	217441.666667
200	345	232289.333333
200	350	241593.333333
200	355	247549.000000
200	360	251113.333333
200	365	260522.666667
200	370	272336.666667
200	375	277050.666667
200	380	280078.333333
200	385	289776.666667
200	390	295195.666667
200	395	302763.000000
200	400	314837.666667
200	405	321799.333333
200	410	327514.000000
200	415	333069.333333
200	420	348556.666667
200	425	356205.666667
200	430	363770.000000
200	435	366408.666667
200	440	376653.666667
200	445	390346.000000
200	450	405786.000000
200	455	400982.666667
200	460	412213.333333
200	465	420279.666667
200	470	440481.666667
200	475	444220.666667
200	480	450586.333333
200	485	466377.000000
200	490	482288.666667
200	495	494058.333333
200	500	484732.000000
200	505	499087.666667
200	510	510527.666667
200	515	519168.333333
200	520	533997.333333
200	525	558313.000000
200	530	577626.666667
200	535	595352.000000
200	540	625015.000000
200	545	607275.000000
200	550	593928.333333
200	555	629530.666667
200	560	639210.666667
200	565	627445.000000
200	570	632598.333333
200	575	642679.333333
200	580	657374.333333
200	585	664496.000000
200	590	678701.000000
200	595	690895.333333
200	600	698157.333333
200	605	711479.333333
200	610	723307.000000
200	615	737257.666667
200	620	750969.333333
200	625	761057.666667
200	630	772462.666667
200	635	784760.666667
200	640	809309.666667
200	645	818349.000000
200	650	823161.333333
200	655	839893.666667
200	660	847127.333333
200	665	886275.000000
200	670	888210.000000
200	675	902588.666667
200	680	902769.666667
200	685	915982.333333
200	690	939915.333333
200	695	944368.333333
200	700	956430.333333
200	705	973478.000000
200	710	995118.333333
200	715	1019869.333333
200	720	1023282.000000
200	725	1028769.333333
200	730	1051439.666667
200	735	1068364.333333
200	740	1103922.333333
200	745	1096108.666667
200	750	1102563.000000
200	755	1121566.333333
200	760	1164921.333333
200	765	1161492.000000
200	770	1171791.000000
200	775	1197029.666667
200	780	1213256.666667
200	785	1211675.000000
200	790	1227970.000000
200	795	1277688.666667
200	800	1283797.666667
200	805	1286174.666667
200	810	1329131.333333
200	815	1321195.666667
200	820	1349539.666667
200	825	1355748.333333
200	830	1378967.333333
200	835	1424512.666667
200	840	1464001.333333
200	845	1457584.666667
200	850	1489811.666667
200	855	1499541.666667
200	860	1533052.000000
200	865	1553559.000000
200	870	1550472.000000
200	875	1596940.666667
200	880	1591183.666667
200	885	1626376.666667
200	890	1613994.666667
200	895	1650649.333333
200	900	1667671.333333
200	905	1688669.000000
200	910	1706096.000000
200	915	1736337.666667
200	920	1767498.333333
200	925	1778757.000000
200	930	1816428.333333
200	935	1844294.666667
200	940	1823157.666667
200	945	1847335.000000
200	950	1887309.000000
200	955	1905400.000000
200	960	1959110.000000
200	965	1918083.333333
200	970	1930204.666667
200	975	2006296.000000
200	980	2024329.666667
200	985	1992578.666667
200	990	2063070.333333
200	995	2103540.666667
200	1000	2082449.000000
