n	i	cycles
200	5	1369.666667
200	10	2287.666667
200	15	5109.000000
200	20	9617.000000
200	25	15637.000000
200	30	22913.000000
200	35	32706.000000
200	40	42323.666667
200	45	53795.666667
200	50	67280.333333
200	55	81880.333333
200	60	97767.000000
200	65	115724.333333
200	70	134406.333333
200	75	163900.666667
200	80	188420.666667
200	85	205461.666667
200	90	231364.666667
200	95	256839.333333
200	100	285723.000000
200	105	313672.000000
200	110	343737.000000
200	115	377230.666667
200	120	438619.000000
200	125	453207.666667
200	130	488704.000000
200	135	523268.666667
200	140	564496.000000
200	145	605414.333333
200	150	653065.666667
200	155	694753.333333
200	160	742023.666667
200	165	791390.333333
200	170	842133.666667
200	175	898834.000000
200	180	947148.666667
200	185	1013561.333333
200	190	1066089.000000
200	195	1133759.666667
200	200	1209630.000000
200	205	1275310.333333
200	210	1329012.333333
200	215	1410600.666667
200	220	1474050.666667
200	225	1560518.333333
200	230	1636573.666667
200	235	1725466.666667
200	240	1817909.666667
200	245	1910624.333333
200	250	1986063.000000
200	255	2104548.333333
200	260	2187355.333333
200	265	2299924.000000
200	270	2408191.000000
200	275	2501391.666667
200	280	2648636.666667
200	285	2750955.666667
200	290	2858261.666667
200	295	3022284.666667
200	300	3093307.333333
200	305	3247249.000000
200	310	3422895.666667
200	315	3527337.000000
200	320	3746808.666667
200	325	3864435.666667
200	330	4019985.000000
200	335	4184258.333333
200	340	4313955.333333
200	345	4515228.000000
200	350	4703034.666667
200	355	4864839.666667
200	360	5089753.666667
200	365	5327239.000000
200	370	5442024.333333
200	375	5740338.333333
200	380	5788628.000000
200	385	6167550.666667
200	390	6293922.000000
200	395	6546463.000000
200	400	6841905.000000
200	405	7085405.000000
200	410	7202170.666667
200	415	7555217.666667
200	420	7509911.000000
200	425	8001764.000000
200	430	8220190.000000
200	435	8637000.000000
200	440	9050478.000000
200	445	9171796.000000
200	450	9451852.333333
200	455	9780491.000000
200	460	9881636.666667
200	465	10470813.000000
200	470	10593615.333333
200	475	11128859.666667
200	480	11531329.666667
200	485	11698413.000000
200	490	11910530.666667
200	495	12357808.666667
200	500	12309071.333333
200	505	13164433.666667
200	510	13351960.333333
200	515	13872698.000000
200	520	14463354.666667
200	525	14671327.000000
200	530	14968305.333333
200	535	15156650.000000
200	540	15104110.000000
200	545	16071137.666667
200	550	16196392.333333
200	555	17032306.666667
200	560	17545554.333333
200	565	17862021.333333
200	570	18390733.000000
200	575	18956277.333333
200	580	18876759.666667
200	585	19780588.333333
200	590	20017346.000000
200	595	20794560.333333
200	600	21539646.000000
200	605	21658574.000000
200	610	21994799.000000
200	615	22735251.666667
200	620	22419369.333333
200	625	23789361.666667
200	630	24068060.666667
200	635	24852138.000000
200	640	25709298.666667
200	645	25934588.333333
200	650	26240229.666667
200	655	27159670.666667
200	660	26661676.000000
200	665	28232060.000000
200	670	28510357.666667
200	675	29414348.666667
200	680	30468750.666667
200	685	30555974.333333
200	690	30811394.333333
200	695	32082241.000000
200	700	31370767.000000
200	705	33113862.000000
200	710	33208010.000000
200	715	34348673.666667
200	720	35597285.666667
200	725	35587963.000000
200	730	36200349.333333
200	735	36793297.333333
200	740	36179593.333333
200	745	38492443.666667
200	750	38479908.333333
200	755	39879639.666667
200	760	41411851.666667
200	765	42271846.000000
200	770	42420610.000000
200	775	43597046.666667
200	780	42996709.333333
200	785	45652993.000000
200	790	45397984.000000
200	795	46920481.333333
200	800	48428376.666667
200	805	49103001.666667
200	810	49415808.666667
200	815	50218398.000000
200	820	49665248.000000
200	825	52147373.333333
200	830	52736933.666667
200	835	53836327.000000
200	840	55448365.666667
200	845	55553266.333333
200	850	56015405.666667
200	855	57471266.666667
200	860	56478189.666667
200	865	59275830.666667
200	870	59771333.666667
200	875	61005541.666667
200	880	62902113.000000
200	885	63044488.666667
200	890	63220369.333333
200	895	64527912.333333
200	900	63589715.000000
200	905	67053987.000000
200	910	68073775.333333
200	915	69295794.333333
200	920	72475052.000000
200	925	72940490.333333
200	930	73477682.333333
200	935	75119134.000000
200	940	76324826.666667
200	945	77428075.666667
200	950	77845587.000000
200	955	79588320.666667
200	960	81775490.333333
200	965	82077096.333333
200	970	81896333.666667
200	975	83690507.333333
200	980	82355276.333333
200	985	86116288.666667
200	990	86523881.333333
200	995	89457597.333333
200	1000	91311866.333333
