n	i	cycles
200	50	734.000000
200	55	724.700000
200	60	724.350000
200	65	740.600000
200	70	736.100000
200	75	726.150000
200	80	724.700000
200	85	724.700000
200	90	724.400000
200	95	722.350000
200	100	724.550000
200	105	728.400000
200	110	722.550000
200	115	724.100000
200	120	722.900000
200	125	723.050000
200	130	722.850000
200	135	723.050000
200	140	728.750000
200	145	723.200000
200	150	723.950000
200	155	731.800000
200	160	722.900000
200	165	723.650000
200	170	723.550000
200	175	726.950000
200	180	722.600000
200	185	723.250000
200	190	723.900000
200	195	722.450000
200	200	723.100000
